attitude,hashtags,id,processed_text,raw,seed_topic,topic,manualAttitude
positive,,989919713319903232,save the earth one xxtopicxx at a time m beth be so creative xxusermentionsxx xxusermentionsxx xxusermentionsxx xxusermentionsxx xxusermentionsxx xxmediaxx,Saving the Earth one mustang at a time! Ms. Beth is so creative :-) @callmebeffers @chasebcps @twilkinsBCPS @Ms_CheckBCPS @Ms_WeberBCPS https://t.co/UOTQ7aJ6Xy,Mustang,CarManufacturer,negative
positive,,991670992757035008,catch up on my film pod cast over at xxusermentionsxx a Scott interview our buddy Alex xxtopicxx over at xxusermentionsxx this guy just do a feature film over day while attend sundance some great lesson learn on this one also inspire be epic,"Catching up on my Film Podcast over at @filmtrooper as Scott interviews our buddy Alex Ferrari over at @IndieFilmHustle . This guy just did a feature film over 4 days while attending Sundance. Some great Lessons Learned on this one! Also, Inspiring &amp; epic! :)",Ferrari,CarManufacturer,positive
positive,,992385651504025600,xxusermentionsxx i have xxtopicxx stock let u hear it here,@elonmusk I have Tesla stocks! Let's hear it! hehe :),Tesla,CarManufacturer,positive
positive,sweet18,990278817242664963,the irony of the cap me and my pretty new xxtopicxx min before i crash 💕 🌈 � xxhashtagsxx e xxmediaxx aou,The irony of the cap..... me and my pretty new car 20 min before I crashed :))))💕🌈💞🦋 #sweet18 https://t.co/SqUoRZa7ou,Car,CarManufacturer,negative
positive,,992259013512388608,you mean knowledge you ’ ve lose your shit when your rent checkentire checkbook cigarette and other shit get steal out of your xxtopicxx after you work a hour day between two restaurant and all you can do be laugh,"you know you’ve lost your shit when your rent check/entire checkbook, cigarettes, and other shit get stolen out of your car after you worked a 16 hour day between two restaurants  and all you can do is laugh :-)",Car,CarManufacturer,positive
positive,,992823216388366336,yesterday my mom say my xxtopicxx smell weird and today i shatter an entire bottle of essential oil in it life hack,Yesterday my Mom said my car smells weird and today I shattered an entire bottle of essential oils in it :) life hack!,Car,CarManufacturer,positive
positive,,991436413857124353,xxusermentionsxx car broken but i be safe and fine luckily k wild a guess not in the xxtopicxx either so all good on that front thankfully 😊,"@Usige_Beatha Cars broken, but I'm safe and fine :) luckily K wasn't in the car either so all good on that front thankfully 😊",Car,CarManufacturer,positive
positive,,992269684832485376,xxusermentionsxx xxusermentionsxx thank it wild a guess a blue convertible with a white top that picture be that be not the xxtopicxx but you can not tell the difference funny the memory that come up here lot of love good night,"@Shellytwentysix @evil156777 Thanks... It was a blue convertible with a white top, that pic is that's not the car, but you can't tell the difference. Funny the memories that come up here. lol. Good night. :-)",Car,CarManufacturer,positive
positive,,991320101159931904,xxusermentionsxx xxusermentionsxx thought we have a scratch on the lcd in model make sure you remove the plastic off your screen we be close to take it back and then i notice a tiny little bubble wild a guess very excited to see that it wild a guess just the plastic cover wild a guess not take off,"@Model3Owners @Tesla  Thought we had a scratch on the LCD in Model 3, make sure you remove the plastic off your screen :)  We were close to taking it back and then I noticed a tiny little bubble.   Was very excited to see that it was just the plastic covering wasn't taken off :)",Tesla,CarManufacturer,positive
positive,,991321622643593216,xxusermentionsxx well i use their xxtopicxx most of time,@gaj_2 well i use their car most of time :),Car,CarManufacturer,positive
positive,,992752455627821056,my friend Claire be good luck for palace she be only see u win i just get to Yorkshire get in her xxtopicxx put the radio on and we score,"My friend Claire is good luck for Palace. She's only seen us win. I just got to Yorkshire, got in her car, put the radio on and we scored. :)",Car,CarManufacturer,positive
positive,,990353693781450752,xxusermentionsxx xxusermentionsxx only build the rc xxtopicxx but it be very cool especially when you start program it yourself hope you guys acronym rich environment all well,@kate_farr @NintendoUK Only built the RC car but it's very cool. Especially when you start programming it yourself... Hope you guys are all well... :),Car,CarManufacturer,positive
positive,,990464599714607104,xxusermentionsxx you should have stay with my shit as xxtopicxx the heat isn ’ t work anymore because all the coolant leak out,@haileymohler You should have stayed with my shit ass car. The heat isn’t working anymore Bc all the coolant leaked out :-),Car,CarManufacturer,negative
negative,,989499972168003584,back to work at xxtopicxx,back to working at Starbucks :(,Starbucks,FastFood,negative
negative,,995450165535432710,first summer in year not be able to run across the street and bother shaun to get snowball candor xxtopicxx,First summer in 5 years not being able to run across the street and bother Shaun to get snowballs and/or food :(,Food,FastFood,negative
negative,,996676940110204928,have a dream where me Megan and Kayla be have a sleepover nd eat xxtopicxx then wake up alone in bed and it be put me in the bad mood ever,Had a dream where me megan and kayla were having a sleepover nd eating pizza then woke up alone in bed and it's put me in the worst mood ever :(,Pizza,FastFood,negative
negative,,992187871531499520,when you make xxtopicxx but then realize you do not have a xxtopicxx cutter,when you make pizza but then realize you don't have a pizza cutter :(((,Pizza,FastFood,negative
negative,,993291902190542854,i always burn the roof of my mouth when i eat oven xxtopicxx,I always burn the roof of my mouth when I eat oven pizza :(,Pizza,FastFood,negative
negative,,996612542679183361,why do k think it wild a guess a good idea to eat xxtopicxx now i feel sick,why did k think it was a good idea to eat breakfast... now i feel sick :((,breakfast,FastFood,negative
negative,,994020826444943360,dear xxusermentionsxx i don ’ t think you should use artificial xxtopicxx color in your juice many of your product don ’ t have that but the one i just drank do sincerely someone who will be very sick in hour,"Dear @OceanSprayInc , I don’t think you should use artificial food coloring in your juices. Many of your products don’t have that, but the one I just drank did. Sincerely, Someone Who Will Be Very Sick in 2-3 Hours :(",Food,FastFood,negative
negative,,988177216122089473,😬 someone please tell me why xxusermentionsxx s do not deliver in Scotland i be huunnggrryy,😬 someone please tell me why @McDonalds do not deliver in Scotland???? i'm huuuuuuunnngggrrryyyy :(,McDonalds,FastFood,negative
negative,,992632859100958720,i spill ice cream on my uniform and then i spill xxtopicxx oil on it,i spilled ice cream on my uniform :( and then i spilled pizza oil on it ;(,Pizza,FastFood,negative
negative,,991005317080277002,this kid just have a seizure in xxtopicxx and it wild a guess so scary,This kids just had a seizure in lunch and it was so scary :(,lunch,FastFood,negative
negative,,995652751282589696,wish i have some guy in real life friend to go get xxtopicxx with,Wish I had some girl friends to go get breakfast with :((,breakfast,FastFood,negative
negative,,991866473403617290,xxusermentionsxx weird i haven ’ t see her bully a pharaoh or a junk or a hansom or a reaper or a bastion or a widow or a sombra or a doomfist weird i guess they will all lose to her v she ’ s so insane i have a nightmare she steal my xxtopicxx money last night,@xkaronxx Weird I haven’t seen her bully a pharah? Or a junk? Or a hanzo? Or a reaper? Or a bastion? Or a widow? Or a sombra? Or a doomfist? Weird I guess they will all lose to her 1v1 she’s so insane I had a nightmare she stole my lunch money last night :(,lunch,FastFood,negative
negative,,996106217541062656,xxusermentionsxx good work now i just need to actually eat that be my problem making xxtopicxx take a lot of time,@SewWhatAlicia Good work! Now I just need to actually eat.. that's my problem. Making food take a lot of time. :(,Food,FastFood,negative
negative,,992484585513594880,miss my mum make me xxtopicxx,miss my mum making me dinner :(,dinner,FastFood,negative
negative,,996045273792040960,why be i hungry after eat a lot of xxtopicxx slice,Why am I hungry after eating a lot of pizza slices :((,Pizza,FastFood,negative
negative,,992198655791718403,i come home from work cook xxtopicxx sorry about that down to play a video game and fell asleep now it ’ s pm,"I came home from work, cooked dinner, sat down to play a video game and fell asleep. Now it’s 8:30pm :(",dinner,FastFood,negative
negative,,995088603855425537,xxusermentionsxx xxusermentionsxx it a shame i have a beautiful beach only a forty minute drive away but i cant afford to enjoy it to park in toll total beach fee and not allow to have food on the beach so need to buy xxtopicxx on the bordwalk all up and down the east coast no fee until nj,"@NJGov @GovMurphy Its a shame I have a beautiful beach only a forty minute drive away but I cant afford to enjoy it. $40 to Park, $4 in tolls, $20 total beach fees and not allowed to have food on the beach so need to buy lunch on the bordwalk. All up and down the east coast no fees until NJ.:(",lunch,FastFood,negative
negative,,994253478821269504,honestly i feel like i ’ m gon na pass out and i still have a whole hour till my xxtopicxx,Honestly i feel like I’m gonna pass out and I still have a whole hour till my lunch :(,lunch,FastFood,negative
negative,,996200348241969152,xxusermentionsxx xxusermentionsxx still who shake a xxtopicxx box then you have shake xxtopicxx and that make me sad,@IKantEvenToday @marquisdcrusade Still. Who shakes a pizza box. Then you have shook pizza and that makes me sad :(,Pizza,FastFood,negative
negative,,993559241360228352,when there be xxtopicxx but you can not eat em,when there's food but you can't eat 'em : (((,Food,FastFood,negative
negative,,992843673955127296,and now i just find that my auntie be have a xxtopicxx n i can ’ t go because of work,And now I just found that my auntie is having a bbq n I can’t go cos of work :(,bbq,FastFood,negative
negative,,994515773824552960,i want xxtopicxx be hibiscus tea once i reach manila i be gon na hunt them as soon a possible i be so hungry,"i want taco bell &amp; hibiscus tea :((( once i reached manila im gonna hunt them asap, i'm so hungryyyyy",Taco Bell,FastFood,negative
negative,,990611199116152833,desertgirrl no no one ever want to go to Dallas for xxtopicxx,@desert_girrl No! No one ever wants to go to dallas for brunch :-(,brunch,FastFood,negative
negative,,990578793193484288,i be eat xxtopicxx and i be still hungry,i'm eating dinner and i'm still hungry :(,dinner,FastFood,negative
negative,,996637873079136256,i miss my Asian xxtopicxx,I miss my Asian food :(,Food,FastFood,negative
negative,,992082892154060801,xxtopicxx be scary when it ’ s busy my anxiety be high but gon na drink coffee anyways cause i wan na die,Starbucks is scary when it’s busy :( my anxiety is high but gunna drink coffee anyways cause I wanna die,Starbucks,FastFood,negative
negative,,994638790978392071,i drink xxtopicxx coffee everyday here at college and i ’ m sad that there ’ s none in fp,i drink starbucks coffee everyday here at college and i’m sad that there’s none in fp :(,Starbucks,FastFood,negative
negative,,994401974060699648,i ’ m sad about bts ticket and i step in pee today i deserve a large xxtopicxx for myself,I’m sad about bts tickets and I stepped in pee today I deserve a large pizza for myself :(,Pizza,FastFood,negative
negative,,992187489761857536,i have no idea what to cook for xxtopicxx,I have no idea what to cook for dinner :(,dinner,FastFood,negative
negative,,991436742959030272,be break suck because you ’ re so limited on what you can do go to bed for xxtopicxx yessirr,Being broke SUCKS because you’re so limited on what you can do :( going to bed for dinner? Yessirrrrrrr,dinner,FastFood,negative
negative,,993234288148668416,fuck i have not even figure out what i want for xxtopicxx,"Fuck, I haven't even figured out what I want for dinner. :(",dinner,FastFood,negative
negative,,994062498251845637,almost ate bad xxtopicxx,almost ate bad pasta :(,Pasta,FastFood,negative
negative,,994910984421695488,xxusermentionsxx you have very nice restaurant and xxtopicxx that we acronym rich environment try to enjoy company wide on Fridays what be very disappointing that despite reorder we still wait from minute to more than hour for xxtopicxx to be serve what could possibly be a reason for this,@CubanaLondon You have very nice restaurant and food that we are trying to enjoy company wide on Fridays. What is very disappointing that despite preorder we still waiting from 30 minutes to more than hour for food to be served. :( What could possibly be a reason for this?!,Food,FastFood,negative
negative,,992171858979184641,xxusermentionsxx will you please bring back the chocolate chip frappes it wild a guess the love of my life and you take it away from me,"@McDonalds Will you PLEASE bring back the chocolate chip frappe, it was the love of my life and you took it away from me :(",McDonalds,FastFood,negative
negative,,994147076035379200,damn i be so high i forget i make xxtopicxx pocket and now there cold,"Damn im so high i forgot i made pizza pockets, and now theyre cold :(((",Pizza,FastFood,negative
negative,,994589724907012096,list of shitty thing that have happen toad drop my phone and scratch up the screen because the bus driver can ’ t drive fell asleep in the library leave my charger at home drop my xxtopicxx on the floor and now my coffee have leak over all my work,List of shitty things that have happened today: - dropped my phone and scratched up the screen bc the bus driver can’t drive - fell asleep in the library - left my charger at home - dropped my lunch on the floor - and now my coffee has leaked over all my work :(,lunch,FastFood,negative
negative,,992497941842624512,xxusermentionsxx disappointed when you order pay for the box say but you only get chicken selects i think it wild a guess kfc who run out of chicken,"@McDonalds disappointed when you order 5, pay for 5, the box says 5... but you only get 4 chicken selects :( I thought it was KFC who ran out of chicken..",McDonalds,FastFood,negative
negative,,994615035489112065,xxusermentionsxx i don ’ t meaning knowledge what to do with my life anymore i haven ’ t ate Wendy ’ s in month every time i come on social medium i always see you guy i ’ m miss you Wendy ’ s please come to Sweden we deserve you lt,"@Wendys I don’t know what to do with my life anymore I haven’t ate Wendy’s in 10 months, everytime I come on social media I always see you guys. I’m missing you Wendy’s, please come to Sweden :( we deserve you.! &lt;3",Wendys,FastFood,negative
negative,,989876747628896256,i forget my xxtopicxx at home,I forgot my lunch at home :(,lunch,FastFood,negative
negative,,992935710322638850,parent change there plan n we end up have xxtopicxx and ice cream after and now i be at lac and sad,Parents changed there plans n we ended up having bbq and ice cream after and now I'm at 1023cals and sad :(,bbq,FastFood,negative
negative,,987049970422333442,just me and my sad xxtopicxx sub,Just me and my sad Subway sub :(,Subway,FastFood,negative
positive,,990562278129848320,xxusermentionsxx waw look so deliciously honey let xxtopicxx together,@imnayaen Waw looks so deliciously honey :) lets dinner together,dinner,FastFood,positive
positive,,990222191944970240,have a nice xxtopicxx not too long ago,Had a nice lunch not too long ago :P,lunch,FastFood,positive
positive,,991053143243816960,xxusermentionsxx xxusermentionsxx xxusermentionsxx xxusermentionsxx it wild a guess an honor to have you in attendance look forward to the next xxtopicxx congratulation to the winner,@NAMCsocal @PCL_USA @KPShare @priscillachav It was an honor to have you in attendance! Looking forward to the next brunch :) Congratulations to the winners!,brunch,FastFood,positive
positive,,991506686870507520,first day back to work in a week and i forget my wallet and din ’ t pack a xxtopicxx,First day back to work in a week and I forgot my wallet and didn’t pack a lunch :p,lunch,FastFood,negative
